순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
1,최정,19+S3B, 88.36 , 2164 , 8888 , 7424 , 1368 , 2133 , 394 , 9 , 458 , 3919 , 1454 , 173 , 74 , 982 , 328 , 56 , 1658 , 135 , 65 , 89 , .287 , .390 , .528 , .918 , .406 , 141.8 , 88.36 ,
2,양준혁,18삼DH, 87.22 , 2135 , 8807 , 7332 , 1299 , 2318 , 458 , 25 , 351 , 3879 , 1389 , 193 , 119 , 1278 , 102 , 150 , 910 , 166 , 14 , 73 , .316 , .421 , .529 , .950 , .421 , 160.0 , 87.22 ,
3,이승엽,15삼1B, 72.08 , 1906 , 8270 , 7132 , 1355 , 2156 , 464 , 28 , 467 , 4077 , 1498 , 57 , 25 , 953 , 102 , 75 , 1344 , 120 , 7 , 76 , .302 , .389 , .572 , .960 , .416 , 150.4 , 72.08 ,
4,최형우,18+삼LF, 71.65 , 2065 , 8735 , 7452 , 1224 , 2323 , 490 , 17 , 373 , 3966 , 1542 , 28 , 18 , 1078 , 108 , 88 , 1318 , 180 , 4 , 93 , .312 , .402 , .532 , .934 , .414 , 147.9 , 71.65 ,
5,김태균,19한1B, 69.10 , 2015 , 8225 , 6900 , 1024 , 2209 , 399 , 8 , 311 , 3557 , 1358 , 28 , 14 , 1141 , 108 , 85 , 1384 , 228 , 7 , 69 , .320 , .421 , .516 , .936 , .419 , 149.8 , 69.10 ,
6,이종범,16해SS, 67.74 , 1706 , 6921 , 6060 , 1100 , 1797 , 340 , 29 , 194 , 2777 , 730 , 510 , 113 , 634 , 90 , 82 , 622 , 108 , 95 , 42 , .297 , .369 , .458 , .828 , .369 , 126.1 , 67.74 ,
7,박경완,23SC, 67.63 , 2043 , 7326 , 5946 , 913 , 1480 , 271 , 15 , 314 , 2723 , 995 , 75 , 59 , 974 , 166 , 48 , 1605 , 130 , 178 , 62 , .249 , .367 , .458 , .825 , .362 , 122.0 , 67.63 ,
8,김동주,16두3B, 66.35 , 1625 , 6592 , 5540 , 851 , 1710 , 293 , 12 , 273 , 2846 , 1097 , 48 , 27 , 814 , 147 , 68 , 794 , 186 , 2 , 89 , .309 , .405 , .514 , .919 , .409 , 151.4 , 66.35 ,
9,김현수,16+두LF, 65.55 , 1941 , 8241 , 7103 , 1129 , 2234 , 411 , 27 , 241 , 3422 , 1364 , 65 , 47 , 966 , 64 , 89 , 823 , 144 , 2 , 104 , .315 , .396 , .482 , .878 , .396 , 141.9 , 65.55 ,
10,이만수,16삼C, 65.29 , 1449 , 5034 , 4310 , 625 , 1276 , 193 , 7 , 252 , 2239 , 861 , 52 , 47 , 554 , 118 , 52 , 490 , 140 , 4 , 42 , .296 , .388 , .519 , .907 , .410 , 159.0 , 65.29 ,
11,양의지,15+두C, 63.88 , 1707 , 6361 , 5454 , 817 , 1677 , 308 , 10 , 244 , 2737 , 1009 , 54 , 22 , 628 , 163 , 48 , 701 , 188 , 44 , 72 , .307 , .391 , .502 , .893 , .397 , 139.4 , 63.88 ,
12,강민호,20+롯C, 63.38 , 2232 , 8253 , 7213 , 920 , 1987 , 355 , 11 , 319 , 3321 , 1164 , 29 , 33 , 768 , 154 , 49 , 1476 , 226 , 46 , 72 , .275 , .355 , .460 , .815 , .366 , 115.1 , 63.38 ,
13,장종훈,19빙1B, 62.71 , 1950 , 7374 , 6292 , 1043 , 1771 , 331 , 25 , 340 , 3172 , 1145 , 122 , 80 , 866 , 131 , 86 , 1354 , 110 , 26 , 59 , .281 , .377 , .504 , .881 , .391 , 141.0 , 62.71 ,
14,손아섭,17+롯RF, 62.07 , 1970 , 8505 , 7486 , 1313 , 2412 , 425 , 34 , 174 , 3427 , 986 , 223 , 66 , 907 , 40 , 43 , 1210 , 118 , 24 , 48 , .322 , .396 , .458 , .854 , .390 , 131.5 , 62.07 ,
15,이대호,17+롯1B, 61.38 , 1972 , 8128 , 7118 , 972 , 2199 , 331 , 6 , 374 , 3664 , 1425 , 11 , 11 , 746 , 179 , 94 , 1025 , 239 , 8 , 77 , .309 , .385 , .515 , .900 , .399 , 140.3 , 61.38 ,
16,박재홍,17현CF, 60.65 , 1797 , 7136 , 6097 , 1012 , 1732 , 316 , 26 , 300 , 3000 , 1081 , 267 , 145 , 875 , 65 , 60 , 1147 , 151 , 27 , 72 , .284 , .376 , .492 , .868 , .385 , 135.5 , 60.65 ,
17,박용택,20+LLF, 58.21 , 2237 , 9138 , 8139 , 1259 , 2504 , 441 , 44 , 213 , 3672 , 1192 , 313 , 90 , 793 , 74 , 49 , 1392 , 177 , 34 , 96 , .308 , .370 , .451 , .822 , .371 , 122.0 , 58.21 ,
18,이범호,19한3B, 57.27 , 2001 , 7451 , 6370 , 954 , 1727 , 334 , 12 , 329 , 3072 , 1127 , 49 , 29 , 863 , 115 , 35 , 1158 , 176 , 36 , 67 , .271 , .365 , .482 , .847 , .377 , 123.0 , 57.27 ,
19,박석민,18+삼3B, 57.24 , 1697 , 6524 , 5363 , 882 , 1537 , 271 , 10 , 269 , 2635 , 1041 , 23 , 17 , 857 , 212 , 30 , 1145 , 188 , 36 , 53 , .287 , .402 , .491 , .893 , .401 , 139.0 , 57.24 ,
20,심정수,15현RF, 56.17 , 1450 , 5958 , 5050 , 859 , 1451 , 231 , 14 , 328 , 2694 , 1029 , 43 , 22 , 777 , 79 , 60 , 1073 , 126 , 4 , 48 , .287 , .388 , .533 , .921 , .404 , 152.6 , 56.17 ,
