이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
이정후,9.23,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3, .349 , .421 , .575 , .996 , .441 , 182.5 ,9.23,6.72,Batter,이정후,75000.0
피렐라,7.4,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2, .342 , .411 , .565 , .976 , .434 , 169.3 ,7.4,4.2,Batter,피렐라,60000.0
나성범,6.5,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5, .320 , .402 , .508 , .910 , .411 , 157.4 ,6.5,3.74,Batter,나성범,200000.0
오지환,5.77,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3, .269 , .357 , .470 , .827 , .372 , 138.6 ,5.77,2.56,Batter,오지환,60000.0
최정,5.15,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6, .266 , .386 , .505 , .891 , .400 , 145.4 ,5.15,3.72,Batter,최정,120000.0
소크라테스,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4, .311 , .354 , .494 , .848 , .380 , 137.0 ,4.97,0.61,Batter,소크라테스,50000.0
김현수,4.88,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3, .286 , .375 , .473 , .848 , .382 , 145.1 ,4.88,2.7,Batter,김현수,150000.0
김혜성,4.8,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3, .318 , .373 , .403 , .776 , .360 , 123.9 ,4.8,1.26,Batter,김혜성,32000.0
최지훈,4.78,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4, .304 , .362 , .426 , .788 , .357 , 120.8 ,4.78,1.77,Batter,최지훈,15000.0
양의지,4.61,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10, .283 , .380 , .480 , .861 , .386 , 140.3 ,4.61,0.76,Batter,양의지,100000.0
박건우,4.47,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3, .336 , .408 , .458 , .867 , .400 , 151.9 ,4.47,1.02,Batter,박건우,190000.0
박성한,4.23,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2, .298 , .375 , .374 , .749 , .349 , 116.6 ,4.23,1.49,Batter,박성한,14000.0
문보경,4.02,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7, .315 , .382 , .451 , .833 , .377 , 138.3 ,4.02,1.1,Batter,문보경,6800.0
한유섬,3.9,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5, .264 , .373 , .478 , .851 , .382 , 134.9 ,3.9,3.45,Batter,한유섬,240000.0
박병호,3.85,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6, .275 , .349 , .559 , .909 , .399 , 147.8 ,3.85,3.71,Batter,박병호,60000.0
한동희,3.77,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4, .307 , .359 , .458 , .817 , .372 , 129.2 ,3.77,0.32,Batter,한동희,17200.0
정은원,3.7,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3, .276 , .379 , .370 , .749 , .352 , 118.2 ,3.7,-0.81,Batter,정은원,19080.0
박해민,3.45,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6, .289 , .347 , .368 , .715 , .331 , 103.9 ,3.45,0.6,Batter,박해민,60000.0
장성우,3.38,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3, .260 , .353 , .439 , .792 , .360 , 121.8 ,3.38,0.5,Batter,장성우,50000.0
노진혁,3.31,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5, .280 , .353 , .455 , .807 , .362 , 125.1 ,3.31,1.13,Batter,노진혁,23000.0
허경민,3.29,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7, .289 , .361 , .398 , .759 , .350 , 119.6 ,3.29,1.82,Batter,허경민,120000.0
안치홍,3.24,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5, .284 , .354 , .436 , .790 , .354 , 117.2 ,3.24,0.87,Batter,안치홍,100000.0
김재환,3.24,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4, .248 , .340 , .460 , .800 , .360 , 130.7 ,3.24,0.33,Batter,김재환,150000.0
홍창기,3.17,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5, .286 , .390 , .355 , .745 , .353 , 119.2 ,3.17,1.27,Batter,홍창기,32000.0
