순,이름,연도,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
1,이정후,22키CF, 9.23 , 142 , 627 , 553 , 85 , 193 , 36 , 10 , 23 , 318 , 113 , 5 , 0 , 66 , 5 , 12 , 32 , 10 , 0 , 3 , .349 , .421 , .575 , .996 , .441 , 182.5 , 9.23 , 6.72 
2,피렐라,22삼LF, 7.40 , 141 , 630 , 561 , 102 , 192 , 33 , 4 , 28 , 317 , 109 , 15 , 5 , 55 , 12 , 12 , 81 , 19 , 0 , 2 , .342 , .411 , .565 , .976 , .434 , 169.3 , 7.40 , 4.20 
3,나성범,22KRF, 6.50 , 144 , 649 , 563 , 92 , 180 , 39 , 2 , 21 , 286 , 97 , 6 , 1 , 64 , 17 , 6 , 137 , 7 , 0 , 5 , .320 , .402 , .508 , .910 , .411 , 157.4 , 6.50 , 3.74 
4,오지환,22LSS, 5.77 , 142 , 569 , 494 , 75 , 133 , 16 , 4 , 25 , 232 , 87 , 20 , 7 , 62 , 7 , 2 , 107 , 11 , 3 , 3 , .269 , .357 , .470 , .827 , .372 , 138.6 , 5.77 , 2.56 
5,최정,22S3B, 5.15 , 121 , 505 , 414 , 80 , 110 , 21 , 0 , 26 , 209 , 87 , 12 , 5 , 66 , 19 , 3 , 96 , 6 , 0 , 6 , .266 , .386 , .505 , .891 , .400 , 145.4 , 5.15 , 3.72 
6,터크먼,22한CF, 4.98 , 144 , 648 , 575 , 88 , 166 , 37 , 4 , 12 , 247 , 43 , 19 , 11 , 64 , 7 , 5 , 104 , 12 , 0 , 2 , .289 , .366 , .430 , .795 , .365 , 126.8 , 4.98 , 0.80 
7,소크라테스,22KCF, 4.97 , 127 , 554 , 514 , 83 , 160 , 29 , 7 , 17 , 254 , 77 , 13 , 6 , 34 , 2 , 4 , 81 , 11 , 0 , 4 , .311 , .354 , .494 , .848 , .380 , 137.0 , 4.97 , 0.61 
8,김현수,22LLF, 4.88 , 141 , 604 , 524 , 78 , 150 , 25 , 2 , 23 , 248 , 106 , 2 , 1 , 71 , 5 , 7 , 62 , 5 , 0 , 3 , .286 , .375 , .473 , .848 , .382 , 145.1 , 4.88 , 2.70 
9,김혜성,22키2B, 4.80 , 129 , 566 , 516 , 81 , 164 , 18 , 7 , 4 , 208 , 48 , 34 , 7 , 47 , 0 , 3 , 83 , 9 , 0 , 3 , .318 , .373 , .403 , .776 , .360 , 123.9 , 4.80 , 1.26 
10,최지훈,22SCF, 4.78 , 144 , 640 , 570 , 93 , 173 , 32 , 4 , 10 , 243 , 61 , 31 , 7 , 47 , 7 , 0 , 77 , 7 , 12 , 4 , .304 , .362 , .426 , .788 , .357 , 120.8 , 4.78 , 1.77 
11,양의지,22NC, 4.61 , 130 , 510 , 427 , 61 , 121 , 24 , 0 , 20 , 205 , 94 , 3 , 1 , 60 , 13 , 6 , 48 , 16 , 0 , 10 , .283 , .380 , .480 , .861 , .386 , 140.3 , 4.61 , 0.76 
12,박건우,22NCF, 4.47 , 111 , 463 , 408 , 52 , 137 , 18 , 1 , 10 , 187 , 61 , 3 , 3 , 44 , 8 , 1 , 62 , 10 , 0 , 3 , .336 , .408 , .458 , .867 , .400 , 151.9 , 4.47 , 1.02 
13,박성한,22SSS, 4.23 , 140 , 564 , 494 , 68 , 147 , 24 , 4 , 2 , 185 , 56 , 12 , 8 , 60 , 2 , 1 , 81 , 5 , 6 , 2 , .298 , .375 , .374 , .749 , .349 , 116.6 , 4.23 , 1.49 
14,문보경,22L3B, 4.02 , 126 , 466 , 406 , 52 , 128 , 22 , 3 , 9 , 183 , 56 , 7 , 0 , 47 , 1 , 1 , 56 , 11 , 5 , 7 , .315 , .382 , .451 , .833 , .377 , 138.3 , 4.02 , 1.10 
15,마티니,22NLF, 3.96 , 139 , 576 , 510 , 67 , 153 , 34 , 1 , 16 , 237 , 85 , 13 , 4 , 51 , 8 , 5 , 86 , 8 , 0 , 7 , .300 , .368 , .465 , .833 , .376 , 134.9 , 3.96 , 0.53 
16,한유섬,22SRF, 3.90 , 135 , 545 , 458 , 62 , 121 , 33 , 1 , 21 , 219 , 100 , 1 , 1 , 66 , 16 , 6 , 137 , 8 , 0 , 5 , .264 , .373 , .478 , .851 , .382 , 134.9 , 3.90 , 3.45 
17,박병호,22K1B, 3.85 , 124 , 487 , 429 , 72 , 118 , 17 , 0 , 35 , 240 , 98 , 5 , 3 , 40 , 12 , 3 , 131 , 7 , 0 , 6 , .275 , .349 , .559 , .909 , .399 , 147.8 , 3.85 , 3.71 
18,푸이그,22키RF, 3.78 , 126 , 547 , 473 , 65 , 131 , 30 , 0 , 21 , 224 , 73 , 6 , 3 , 58 , 12 , 1 , 100 , 6 , 0 , 4 , .277 , .368 , .474 , .841 , .382 , 143.4 , 3.78 , 1.35 
19,한동희,22롯3B, 3.77 , 129 , 499 , 456 , 43 , 140 , 27 , 0 , 14 , 209 , 65 , 0 , 0 , 33 , 6 , 2 , 64 , 15 , 0 , 4 , .307 , .359 , .458 , .817 , .372 , 129.2 , 3.77 , 0.32 
20,정은원,22한2B, 3.70 , 140 , 601 , 508 , 67 , 140 , 20 , 2 , 8 , 188 , 49 , 10 , 6 , 85 , 1 , 0 , 109 , 10 , 4 , 3 , .276 , .379 , .370 , .749 , .352 , 118.2 , 3.70 , -0.81 
21,이대호,22롯DH, 3.58 , 143 , 591 , 540 , 53 , 179 , 23 , 0 , 23 , 271 , 101 , 0 , 0 , 43 , 2 , 7 , 56 , 26 , 0 , 6 , .331 , .379 , .502 , .881 , .395 , 146.2 , 3.58 , 0.96 
22,박해민,22LCF, 3.45 , 144 , 636 , 570 , 97 , 165 , 20 , 8 , 3 , 210 , 49 , 24 , 6 , 44 , 9 , 0 , 85 , 4 , 7 , 6 , .289 , .347 , .368 , .715 , .331 , 103.9 , 3.45 , 0.60 
23,장성우,22KC, 3.38 , 117 , 420 , 362 , 48 , 94 , 11 , 0 , 18 , 159 , 55 , 1 , 0 , 52 , 2 , 2 , 79 , 12 , 1 , 3 , .260 , .353 , .439 , .792 , .360 , 121.8 , 3.38 , 0.50 
24,노진혁,22N3B, 3.31 , 115 , 451 , 396 , 50 , 111 , 24 , 0 , 15 , 180 , 75 , 2 , 0 , 45 , 2 , 3 , 105 , 11 , 3 , 5 , .280 , .353 , .455 , .807 , .362 , 125.1 , 3.31 , 1.13 
25,허경민,22두3B, 3.29 , 121 , 493 , 432 , 59 , 125 , 23 , 0 , 8 , 172 , 60 , 10 , 3 , 36 , 16 , 3 , 40 , 12 , 2 , 7 , .289 , .361 , .398 , .759 , .350 , 119.6 , 3.29 , 1.82 
26,안치홍,22롯2B, 3.24 , 132 , 562 , 493 , 71 , 140 , 27 , 3 , 14 , 215 , 58 , 7 , 2 , 51 , 5 , 4 , 52 , 13 , 8 , 5 , .284 , .354 , .436 , .790 , .354 , 117.2 , 3.24 , 0.87 
27,김재환,22두LF, 3.24 , 128 , 517 , 448 , 64 , 111 , 24 , 1 , 23 , 206 , 72 , 2 , 1 , 61 , 4 , 4 , 133 , 5 , 0 , 4 , .248 , .340 , .460 , .800 , .360 , 130.7 , 3.24 , 0.33 
28,홍창기,22LRF, 3.17 , 118 , 525 , 437 , 76 , 125 , 19 , 4 , 1 , 155 , 51 , 13 , 4 , 59 , 19 , 0 , 75 , 11 , 5 , 5 , .286 , .390 , .355 , .745 , .353 , 119.2 , 3.17 , 1.27 
29,전준우,22롯LF, 3.10 , 120 , 517 , 470 , 73 , 143 , 31 , 1 , 11 , 209 , 68 , 6 , 3 , 35 , 3 , 1 , 73 , 14 , 0 , 9 , .304 , .350 , .445 , .795 , .361 , 121.3 , 3.10 , 1.19 
30,박찬호,22KSS, 3.02 , 130 , 566 , 494 , 81 , 134 , 22 , 0 , 4 , 168 , 45 , 41 , 8 , 57 , 1 , 0 , 67 , 9 , 7 , 7 , .271 , .344 , .340 , .684 , .319 , 95.0 , 3.02 , 0.62 
31,박동원,22키KC, 2.94 , 123 , 447 , 385 , 52 , 93 , 21 , 0 , 18 , 168 , 57 , 1 , 0 , 45 , 9 , 4 , 95 , 9 , 7 , 1 , .242 , .334 , .436 , .771 , .344 , 111.5 , 2.94 , -0.80 
32,채은성,22L1B, 2.89 , 126 , 526 , 467 , 48 , 138 , 26 , 2 , 12 , 204 , 83 , 6 , 7 , 27 , 21 , 3 , 88 , 16 , 0 , 11 , .296 , .354 , .437 , .790 , .359 , 127.3 , 2.89 , -0.22 
33,김선빈,22K2B, 2.88 , 140 , 587 , 505 , 51 , 145 , 23 , 0 , 3 , 177 , 61 , 13 , 2 , 65 , 6 , 0 , 47 , 14 , 7 , 3 , .287 , .373 , .351 , .724 , .341 , 109.6 , 2.88 , 1.39 
34,오재일,22삼1B, 2.83 , 135 , 536 , 470 , 57 , 126 , 42 , 0 , 21 , 231 , 94 , 2 , 1 , 58 , 1 , 8 , 133 , 7 , 0 , 7 , .268 , .345 , .491 , .837 , .370 , 126.5 , 2.83 , 0.86 
35,조용호,22KRF, 2.66 , 131 , 531 , 474 , 52 , 146 , 18 , 4 , 3 , 181 , 44 , 5 , 4 , 49 , 3 , 3 , 74 , 3 , 2 , 3 , .308 , .374 , .382 , .756 , .352 , 115.8 , 2.66 , 1.99 
36,노시환,22한3B, 2.65 , 115 , 490 , 434 , 55 , 122 , 24 , 1 , 6 , 166 , 59 , 6 , 2 , 48 , 4 , 1 , 95 , 13 , 0 , 4 , .281 , .355 , .382 , .738 , .344 , 112.5 , 2.65 , 1.99 
37,황재균,22K3B, 2.65 , 141 , 581 , 519 , 59 , 136 , 24 , 3 , 10 , 196 , 64 , 6 , 3 , 53 , 5 , 5 , 99 , 17 , 2 , 2 , .262 , .335 , .378 , .713 , .328 , 99.6 , 2.65 , -0.18 
38,배정대,22KCF, 2.58 , 144 , 575 , 508 , 64 , 135 , 24 , 2 , 6 , 181 , 56 , 19 , 4 , 54 , 4 , 0 , 126 , 2 , 5 , 4 , .266 , .339 , .356 , .695 , .324 , 96.7 , 2.58 , -0.18 
39,문성주,22LDH, 2.48 , 106 , 390 , 327 , 55 , 99 , 15 , 3 , 6 , 138 , 41 , 9 , 6 , 51 , 3 , 2 , 36 , 13 , 8 , 1 , .303 , .401 , .422 , .823 , .375 , 136.0 , 2.48 , 0.48 
40,알포드,22KLF, 2.47 , 80 , 323 , 283 , 48 , 81 , 19 , 1 , 14 , 144 , 50 , 5 , 1 , 33 , 3 , 3 , 90 , 3 , 0 , 4 , .286 , .362 , .509 , .871 , .387 , 139.7 , 2.47 , 2.04 
41,추신수,22SDH, 2.38 , 112 , 499 , 409 , 77 , 106 , 20 , 1 , 16 , 176 , 58 , 15 , 5 , 71 , 13 , 1 , 100 , 6 , 2 , 4 , .259 , .382 , .430 , .813 , .374 , 129.8 , 2.38 , 2.01 
42,강승호,22두2B, 2.34 , 134 , 487 , 444 , 54 , 117 , 28 , 1 , 10 , 177 , 62 , 13 , 5 , 29 , 3 , 0 , 100 , 8 , 6 , 5 , .264 , .310 , .399 , .708 , .320 , 100.5 , 2.34 , 0.53 
43,유강남,22LC, 2.30 , 139 , 469 , 416 , 54 , 106 , 16 , 0 , 8 , 146 , 47 , 0 , 0 , 34 , 11 , 1 , 98 , 9 , 6 , 2 , .255 , .326 , .351 , .677 , .314 , 94.9 , 2.30 , 0.41 
