순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
1,페디,23N, 7.31 , 30 , 0 , 0 , 30 , 20 , 6 , 0 , 0 , 180.1 , 46 , 40 , 708 , 137 , 16 , 0 , 9 , 35 , 0 , 4 , 209 , 0 , 5 , 2.00 , 2.42 , 0.95 , 208.6 , 174.2 , 7.31 , 4.53 
2,고영표,23K, 6.15 , 28 , 0 , 0 , 27 , 12 , 7 , 0 , 0 , 174.2 , 57 , 54 , 706 , 181 , 27 , 5 , 7 , 19 , 1 , 9 , 114 , 0 , 6 , 2.78 , 3.12 , 1.15 , 151.8 , 133.7 , 6.15 , 3.34 
3,후라도,23키, 6.04 , 30 , 0 , 0 , 30 , 11 , 8 , 0 , 0 , 183.2 , 64 , 54 , 763 , 164 , 19 , 0 , 7 , 41 , 0 , 9 , 147 , 0 , 5 , 2.65 , 3.15 , 1.12 , 155.2 , 129.1 , 6.04 , 3.20 
4,알칸타라,23두, 5.53 , 31 , 0 , 0 , 31 , 13 , 8 , 0 , 0 , 192.0 , 67 , 57 , 777 , 171 , 33 , 0 , 16 , 35 , 1 , 5 , 162 , 0 , 3 , 2.67 , 3.45 , 1.07 , 152.5 , 116.2 , 5.53 , 2.85 
5,안우진,23키, 5.22 , 24 , 0 , 0 , 24 , 9 , 7 , 0 , 0 , 150.2 , 44 , 40 , 608 , 121 , 25 , 1 , 5 , 38 , 1 , 1 , 164 , 0 , 8 , 2.39 , 2.45 , 1.06 , 171.9 , 164.8 , 5.22 , 3.46 
6,뷰캐넌,23삼, 5.12 , 30 , 1 , 0 , 30 , 12 , 8 , 0 , 0 , 188.0 , 71 , 53 , 784 , 174 , 26 , 2 , 4 , 43 , 1 , 6 , 139 , 1 , 7 , 2.54 , 3.01 , 1.15 , 166.9 , 138.1 , 5.12 , 2.12 
7,곽빈,23두, 4.19 , 23 , 0 , 0 , 23 , 12 , 7 , 0 , 0 , 127.1 , 44 , 41 , 526 , 96 , 18 , 1 , 7 , 58 , 0 , 5 , 106 , 1 , 4 , 2.90 , 3.98 , 1.21 , 140.6 , 102.2 , 4.19 , 2.46 
8,쿠에바스,23K, 4.09 , 18 , 0 , 0 , 18 , 12 , 0 , 0 , 0 , 114.1 , 33 , 33 , 460 , 95 , 10 , 2 , 4 , 24 , 1 , 2 , 100 , 0 , 5 , 2.60 , 2.80 , 1.04 , 162.6 , 149.5 , 4.09 , 2.49 
9,플럿코,23L, 3.87 , 21 , 0 , 0 , 21 , 11 , 3 , 0 , 0 , 123.1 , 37 , 33 , 510 , 115 , 21 , 3 , 5 , 31 , 1 , 3 , 101 , 0 , 2 , 2.41 , 3.13 , 1.18 , 169.5 , 131.0 , 3.87 , 1.61 
10,서진용,23S, 3.64 , 69 , 0 , 0 , 0 , 5 , 4 , 40 , 0 , 72.2 , 22 , 20 , 322 , 62 , 5 , 0 , 3 , 48 , 5 , 4 , 63 , 0 , 5 , 2.48 , 4.19 , 1.51 , 169.0 , 100.3 , 3.64 , 2.73 
11,반즈,23롯, 3.62 , 30 , 0 , 0 , 30 , 11 , 10 , 0 , 0 , 170.1 , 68 , 62 , 734 , 171 , 34 , 1 , 6 , 56 , 1 , 15 , 147 , 0 , 7 , 3.28 , 3.41 , 1.33 , 127.0 , 121.3 , 3.62 , 1.54 
12,페냐,23한, 3.54 , 32 , 0 , 0 , 32 , 11 , 11 , 0 , 0 , 177.1 , 82 , 71 , 751 , 149 , 28 , 5 , 14 , 59 , 1 , 18 , 147 , 4 , 16 , 3.60 , 4.10 , 1.17 , 115.2 , 101.3 , 3.54 , -0.27 
13,원태인,23삼, 3.49 , 26 , 0 , 0 , 26 , 7 , 7 , 0 , 0 , 150.0 , 61 , 53 , 633 , 156 , 26 , 1 , 15 , 34 , 2 , 6 , 102 , 2 , 6 , 3.18 , 4.14 , 1.27 , 133.2 , 101.5 , 3.49 , 0.67 
14,김광현,23S, 3.32 , 30 , 0 , 0 , 30 , 9 , 8 , 0 , 0 , 168.1 , 75 , 66 , 713 , 163 , 30 , 0 , 11 , 70 , 0 , 2 , 119 , 0 , 5 , 3.53 , 4.16 , 1.38 , 118.6 , 101.3 , 3.32 , 0.92 
15,브랜든,23두, 3.19 , 18 , 0 , 0 , 18 , 11 , 3 , 0 , 0 , 104.2 , 34 , 29 , 427 , 80 , 13 , 0 , 4 , 30 , 0 , 12 , 100 , 0 , 3 , 2.49 , 3.23 , 1.05 , 163.3 , 126.3 , 3.19 , 1.88 
16,박세웅,23롯, 3.13 , 27 , 0 , 0 , 27 , 9 , 7 , 0 , 0 , 154.0 , 70 , 59 , 657 , 145 , 24 , 0 , 8 , 59 , 1 , 4 , 129 , 0 , 10 , 3.45 , 3.65 , 1.33 , 120.7 , 112.8 , 3.13 , 0.84 
17,김진성,23L, 2.97 , 80 , 0 , 0 , 0 , 5 , 1 , 4 , 21 , 70.1 , 17 , 17 , 270 , 41 , 5 , 1 , 8 , 26 , 0 , 0 , 69 , 0 , 0 , 2.18 , 4.07 , 0.95 , 187.6 , 99.4 , 2.97 , 1.81 
