선수,연도,팀,연봉(만원)
나성범,2023,KIA,200000
양현종,2023,KIA,100000
최형우,2023,KIA,90000
소크라테스,2023,KIA,50000
김선빈,2023,KIA,45000
장현식,2023,KIA,20000
정해영,2023,KIA,17000
임기영,2023,KIA,14000
박준표,2023,KIA,12500
김대유,2023,KIA,12500
박찬호,2023,KIA,12000
전상현,2023,KIA,11000
류지혁,2023,KIA,10500
이의리,2023,KIA,9000
한승택,2023,KIA,8500
고종욱,2023,KIA,7000
이창진,2023,KIA,7000
이준영,2023,KIA,6700
황대인,2023,KIA,6500
윤중현,2023,KIA,6500
김호령,2023,KIA,6000
김건국,2023,KIA,6000
김승현,2023,KIA,5500
고영창,2023,KIA,4200
이우성,2023,KIA,4100
김기훈,2023,KIA,4000
이정훈,2023,KIA,4000
유승철,2023,KIA,4000
김재열,2023,KIA,3900
최정용,2023,KIA,3800
김유신,2023,KIA,3700
신범수,2023,KIA,3600
박정우,2023,KIA,3500
오선우,2023,KIA,3500
남하준,2023,KIA,3300
홍종표,2023,KIA,3300
김사윤,2023,KIA,3200
장지수,2023,KIA,3200
오정환,2023,KIA,3100
한준수,2023,KIA,3100
홍원빈,2023,KIA,3000
최지민,2023,KIA,3000
황동하,2023,KIA,3000
임석진,2023,KIA,3000
이송찬,2023,KIA,3000
정해원,2023,KIA,3000
이성주,2023,KIA,3000
이도현,2023,KIA,3000
김용완,2023,KIA,3000
김양수,2023,KIA,3000
김세일,2023,KIA,3000
김선우,2023,KIA,3000
김민수,2023,KIA,3000
김도월,2023,KIA,3000
김도영,2023,KIA,3000
곽도규,2023,KIA,3000
강이준,2023,KIA,3000
강병우,2023,KIA,3000
김재현,2023,KIA,3000
김주섭,2023,KIA,3000
윤영철,2023,KIA,3000
윤도현,2023,KIA,3000
앤더슨,2023,KIA,3000
송후섭,2023,KIA,3000
변우혁,2023,KIA,3000
박일훈,2023,KIA,3000
메디나,2023,KIA,3000
나용기,2023,KIA,3000
김찬민,2023,KIA,3000
이태규,2023,KIA,2700
