이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
페디,7.31,30,0,0,30,20,6,0,0,180.1,46,40,708,137,16,0,9,35,0,4,209,0,5, 2.00 , 2.42 , 0.95 , 208.6 , 174.2 ,4.53,Pitcher,페디,3000.0
고영표,6.15,28,0,0,27,12,7,0,0,174.2,57,54,706,181,27,5,7,19,1,9,114,0,6, 2.78 , 3.12 , 1.15 , 151.8 , 133.7 ,3.34,Pitcher,고영표,30000.0
후라도,6.04,30,0,0,30,11,8,0,0,183.2,64,54,763,164,19,0,7,41,0,9,147,0,5, 2.65 , 3.15 , 1.12 , 155.2 , 129.1 ,3.2,Pitcher,후라도,3000.0
알칸타라,5.53,31,0,0,31,13,8,0,0,192.0,67,57,777,171,33,0,16,35,1,5,162,0,3, 2.67 , 3.45 , 1.07 , 152.5 , 116.2 ,2.85,Pitcher,알칸타라,45000.0
안우진,5.22,24,0,0,24,9,7,0,0,150.2,44,40,608,121,25,1,5,38,1,1,164,0,8, 2.39 , 2.45 , 1.06 , 171.9 , 164.8 ,3.46,Pitcher,안우진,15000.0
뷰캐넌,5.12,30,1,0,30,12,8,0,0,188.0,71,53,784,174,26,2,4,43,1,6,139,1,7, 2.54 , 3.01 , 1.15 , 166.9 , 138.1 ,2.12,Pitcher,뷰캐넌,110000.0
곽빈,4.19,23,0,0,23,12,7,0,0,127.1,44,41,526,96,18,1,7,58,0,5,106,1,4, 2.90 , 3.98 , 1.21 , 140.6 , 102.2 ,2.46,Pitcher,곽빈,6500.0
쿠에바스,4.09,18,0,0,18,12,0,0,0,114.1,33,33,460,95,10,2,4,24,1,2,100,0,5, 2.60 , 2.80 , 1.04 , 162.6 , 149.5 ,2.49,Pitcher,,80000.0
플럿코,3.87,21,0,0,21,11,3,0,0,123.1,37,33,510,115,21,3,5,31,1,3,101,0,2, 2.41 , 3.13 , 1.18 , 169.5 , 131.0 ,1.61,Pitcher,플럿코,50000.0
서진용,3.64,69,0,0,0,5,4,40,0,72.2,22,20,322,62,5,0,3,48,5,4,63,0,5, 2.48 , 4.19 , 1.51 , 169.0 , 100.3 ,2.73,Pitcher,서진용,18500.0
반즈,3.62,30,0,0,30,11,10,0,0,170.1,68,62,734,171,34,1,6,56,1,15,147,0,7, 3.28 , 3.41 , 1.33 , 127.0 , 121.3 ,1.54,Pitcher,반즈,46538.0
페냐,3.54,32,0,0,32,11,11,0,0,177.1,82,71,751,149,28,5,14,59,1,18,147,4,16, 3.60 , 4.10 , 1.17 , 115.2 , 101.3 ,-0.27,Pitcher,페냐,40000.0
원태인,3.49,26,0,0,26,7,7,0,0,150.0,61,53,633,156,26,1,15,34,2,6,102,2,6, 3.18 , 4.14 , 1.27 , 133.2 , 101.5 ,0.67,Pitcher,원태인,30000.0
김광현,3.32,30,0,0,30,9,8,0,0,168.1,75,66,713,163,30,0,11,70,0,2,119,0,5, 3.53 , 4.16 , 1.38 , 118.6 , 101.3 ,0.92,Pitcher,김광현,810000.0
박세웅,3.13,27,0,0,27,9,7,0,0,154.0,70,59,657,145,24,0,8,59,1,4,129,0,10, 3.45 , 3.65 , 1.33 , 120.7 , 112.8 ,0.84,Pitcher,박세웅,3300.0
박세웅,3.13,27,0,0,27,9,7,0,0,154.0,70,59,657,145,24,0,8,59,1,4,129,0,10, 3.45 , 3.65 , 1.33 , 120.7 , 112.8 ,0.84,Pitcher,박세웅,26000.0
김진성,2.97,80,0,0,0,5,1,4,21,70.1,17,17,270,41,5,1,8,26,0,0,69,0,0, 2.18 , 4.07 , 0.95 , 187.6 , 99.4 ,1.81,Pitcher,김진성,10000.0
김재윤,2.86,59,0,0,0,5,5,32,0,65.2,21,19,262,54,5,2,2,13,5,1,60,0,3, 2.60 , 2.42 , 1.02 , 162.2 , 173.7 ,2.31,Pitcher,김재윤,28000.0
양현종,2.81,29,0,0,29,9,11,0,0,171.0,78,67,729,180,32,1,13,48,1,1,133,0,5, 3.53 , 3.72 , 1.33 , 117.2 , 110.4 ,-0.03,Pitcher,양현종,100000.0
박영현,2.75,68,0,0,0,3,3,4,32,75.1,25,23,308,63,11,2,3,23,4,2,79,2,1, 2.75 , 2.70 , 1.14 , 153.7 , 155.9 ,1.8,Pitcher,박영현,3000.0
엘리아스,2.65,22,0,0,21,7,6,0,0,131.1,58,55,548,140,22,1,12,33,1,6,93,0,0, 3.77 , 4.08 , 1.32 , 111.0 , 104.0 ,1.25,Pitcher,,73256.0
함덕주,2.64,57,0,0,0,4,0,4,16,55.2,12,10,222,32,9,1,1,22,1,2,59,0,0, 1.62 , 2.80 , 0.97 , 252.5 , 148.0 ,2.27,Pitcher,함덕주,12000.0
류진욱,2.62,70,0,0,0,1,4,0,22,67.0,19,16,268,41,2,2,1,32,1,1,62,0,5, 2.15 , 3.22 , 1.09 , 193.8 , 130.3 ,1.13,Pitcher,류진욱,7500.0
주현상,2.59,55,0,0,0,2,2,0,12,59.2,13,13,228,35,6,1,2,15,1,3,45,0,0, 1.96 , 3.22 , 0.84 , 211.7 , 128.5 ,1.41,Pitcher,주현상,5080.0
문동주,2.52,23,0,0,23,8,8,0,0,118.2,52,49,503,113,20,2,6,42,0,4,95,1,5, 3.72 , 3.66 , 1.31 , 111.7 , 113.2 ,-0.08,Pitcher,문동주,3000.0
엄상백,2.45,20,0,0,19,7,6,0,0,111.2,46,45,454,100,16,4,6,29,0,2,89,0,1, 3.63 , 3.38 , 1.16 , 116.4 , 123.6 ,0.86,Pitcher,엄상백,8000.0
벤자민,2.4,29,0,0,29,15,6,0,0,160.0,79,63,684,149,23,1,12,45,1,3,157,0,11, 3.54 , 3.34 , 1.21 , 119.2 , 125.5 ,0.37,Pitcher,벤자민,23100.0
임찬규,2.38,30,0,0,26,14,3,0,1,144.2,63,55,632,142,22,2,10,54,1,5,103,1,1, 3.42 , 4.12 , 1.36 , 119.3 , 99.1 ,1.01,Pitcher,임찬규,20000.0
노경은,2.36,76,0,0,0,8,5,2,29,83.0,33,33,357,78,13,2,4,36,5,4,65,0,8, 3.58 , 3.77 , 1.37 , 117.0 , 111.8 ,1.75,Pitcher,노경은,10000.0
맥카티,2.32,24,0,0,24,9,5,0,0,130.0,58,49,543,124,19,2,10,45,0,1,116,1,4, 3.39 , 3.72 , 1.30 , 123.4 , 114.0 ,0.59,Pitcher,,3000.0
백정현,2.23,18,0,0,18,7,5,0,0,100.2,44,41,419,100,19,2,6,30,2,0,61,1,5, 3.67 , 3.84 , 1.29 , 115.5 , 108.9 ,0.6,Pitcher,백정현,80000.0
임기영,2.2,64,0,0,0,4,4,3,16,82.0,29,27,324,56,8,3,6,19,1,6,57,0,1, 2.96 , 3.88 , 0.92 , 139.4 , 105.7 ,0.38,Pitcher,임기영,14000.0
최지민,2.18,58,0,0,0,6,3,3,12,59.1,17,14,244,45,4,2,4,26,1,4,44,0,5, 2.12 , 4.30 , 1.20 , 194.5 , 95.6 ,0.25,Pitcher,최지민,3000.0
윌커슨,2.17,13,0,0,13,7,2,0,0,79.2,28,20,327,67,15,2,3,20,0,2,81,1,3, 2.26 , 2.73 , 1.09 , 184.1 , 151.4 ,1.51,Pitcher,,86451.0
