이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,Salary
이정후,9.23,142.0,627.0,553.0,85.0,193.0,36.0,10.0,23.0,318.0,113.0,5.0,0.0,66.0,5.0,12.0,32.0,10.0,0.0,3.0, .349 , .421 , .575 , .996 , .441 , 182.5 ,9.23,6.72,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000.0
피렐라,7.4,141.0,630.0,561.0,102.0,192.0,33.0,4.0,28.0,317.0,109.0,15.0,5.0,55.0,12.0,12.0,81.0,19.0,0.0,2.0, .342 , .411 , .565 , .976 , .434 , 169.3 ,7.4,4.2,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
나성범,6.5,144.0,649.0,563.0,92.0,180.0,39.0,2.0,21.0,286.0,97.0,6.0,1.0,64.0,17.0,6.0,137.0,7.0,0.0,5.0, .320 , .402 , .508 , .910 , .411 , 157.4 ,6.5,3.74,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0
오지환,5.77,142.0,569.0,494.0,75.0,133.0,16.0,4.0,25.0,232.0,87.0,20.0,7.0,62.0,7.0,2.0,107.0,11.0,3.0,3.0, .269 , .357 , .470 , .827 , .372 , 138.6 ,5.77,2.56,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
최정,5.15,121.0,505.0,414.0,80.0,110.0,21.0,0.0,26.0,209.0,87.0,12.0,5.0,66.0,19.0,3.0,96.0,6.0,0.0,6.0, .266 , .386 , .505 , .891 , .400 , 145.4 ,5.15,3.72,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000.0
소크라테스,4.97,127.0,554.0,514.0,83.0,160.0,29.0,7.0,17.0,254.0,77.0,13.0,6.0,34.0,2.0,4.0,81.0,11.0,0.0,4.0, .311 , .354 , .494 , .848 , .380 , 137.0 ,4.97,0.61,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0
김현수,4.88,141.0,604.0,524.0,78.0,150.0,25.0,2.0,23.0,248.0,106.0,2.0,1.0,71.0,5.0,7.0,62.0,5.0,0.0,3.0, .286 , .375 , .473 , .848 , .382 , 145.1 ,4.88,2.7,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0
김혜성,4.8,129.0,566.0,516.0,81.0,164.0,18.0,7.0,4.0,208.0,48.0,34.0,7.0,47.0,0.0,3.0,83.0,9.0,0.0,3.0, .318 , .373 , .403 , .776 , .360 , 123.9 ,4.8,1.26,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000.0
최지훈,4.78,144.0,640.0,570.0,93.0,173.0,32.0,4.0,10.0,243.0,61.0,31.0,7.0,47.0,7.0,0.0,77.0,7.0,12.0,4.0, .304 , .362 , .426 , .788 , .357 , 120.8 ,4.78,1.77,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0
양의지,4.61,130.0,510.0,427.0,61.0,121.0,24.0,0.0,20.0,205.0,94.0,3.0,1.0,60.0,13.0,6.0,48.0,16.0,0.0,10.0, .283 , .380 , .480 , .861 , .386 , 140.3 ,4.61,0.76,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
박건우,4.47,111.0,463.0,408.0,52.0,137.0,18.0,1.0,10.0,187.0,61.0,3.0,3.0,44.0,8.0,1.0,62.0,10.0,0.0,3.0, .336 , .408 , .458 , .867 , .400 , 151.9 ,4.47,1.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000.0
박성한,4.23,140.0,564.0,494.0,68.0,147.0,24.0,4.0,2.0,185.0,56.0,12.0,8.0,60.0,2.0,1.0,81.0,5.0,6.0,2.0, .298 , .375 , .374 , .749 , .349 , 116.6 ,4.23,1.49,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.0
문보경,4.02,126.0,466.0,406.0,52.0,128.0,22.0,3.0,9.0,183.0,56.0,7.0,0.0,47.0,1.0,1.0,56.0,11.0,5.0,7.0, .315 , .382 , .451 , .833 , .377 , 138.3 ,4.02,1.1,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0
한유섬,3.9,135.0,545.0,458.0,62.0,121.0,33.0,1.0,21.0,219.0,100.0,1.0,1.0,66.0,16.0,6.0,137.0,8.0,0.0,5.0, .264 , .373 , .478 , .851 , .382 , 134.9 ,3.9,3.45,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000.0
박병호,3.85,124.0,487.0,429.0,72.0,118.0,17.0,0.0,35.0,240.0,98.0,5.0,3.0,40.0,12.0,3.0,131.0,7.0,0.0,6.0, .275 , .349 , .559 , .909 , .399 , 147.8 ,3.85,3.71,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
한동희,3.77,129.0,499.0,456.0,43.0,140.0,27.0,0.0,14.0,209.0,65.0,0.0,0.0,33.0,6.0,2.0,64.0,15.0,0.0,4.0, .307 , .359 , .458 , .817 , .372 , 129.2 ,3.77,0.32,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200.0
정은원,3.7,140.0,601.0,508.0,67.0,140.0,20.0,2.0,8.0,188.0,49.0,10.0,6.0,85.0,1.0,0.0,109.0,10.0,4.0,3.0, .276 , .379 , .370 , .749 , .352 , 118.2 ,3.7,-0.81,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,19080.0
박해민,3.45,144.0,636.0,570.0,97.0,165.0,20.0,8.0,3.0,210.0,49.0,24.0,6.0,44.0,9.0,0.0,85.0,4.0,7.0,6.0, .289 , .347 , .368 , .715 , .331 , 103.9 ,3.45,0.6,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
장성우,3.38,117.0,420.0,362.0,48.0,94.0,11.0,0.0,18.0,159.0,55.0,1.0,0.0,52.0,2.0,2.0,79.0,12.0,1.0,3.0, .260 , .353 , .439 , .792 , .360 , 121.8 ,3.38,0.5,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0
노진혁,3.31,115.0,451.0,396.0,50.0,111.0,24.0,0.0,15.0,180.0,75.0,2.0,0.0,45.0,2.0,3.0,105.0,11.0,3.0,5.0, .280 , .353 , .455 , .807 , .362 , 125.1 ,3.31,1.13,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000.0
허경민,3.29,121.0,493.0,432.0,59.0,125.0,23.0,0.0,8.0,172.0,60.0,10.0,3.0,36.0,16.0,3.0,40.0,12.0,2.0,7.0, .289 , .361 , .398 , .759 , .350 , 119.6 ,3.29,1.82,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000.0
안치홍,3.24,132.0,562.0,493.0,71.0,140.0,27.0,3.0,14.0,215.0,58.0,7.0,2.0,51.0,5.0,4.0,52.0,13.0,8.0,5.0, .284 , .354 , .436 , .790 , .354 , 117.2 ,3.24,0.87,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
김재환,3.24,128.0,517.0,448.0,64.0,111.0,24.0,1.0,23.0,206.0,72.0,2.0,1.0,61.0,4.0,4.0,133.0,5.0,0.0,4.0, .248 , .340 , .460 , .800 , .360 , 130.7 ,3.24,0.33,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0
홍창기,3.17,118.0,525.0,437.0,76.0,125.0,19.0,4.0,1.0,155.0,51.0,13.0,4.0,59.0,19.0,0.0,75.0,11.0,5.0,5.0, .286 , .390 , .355 , .745 , .353 , 119.2 ,3.17,1.27,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000.0
전준우,3.1,120.0,517.0,470.0,73.0,143.0,31.0,1.0,11.0,209.0,68.0,6.0,3.0,35.0,3.0,1.0,73.0,14.0,0.0,9.0, .304 , .350 , .445 , .795 , .361 , 121.3 ,3.1,1.19,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0
박찬호,3.02,130.0,566.0,494.0,81.0,134.0,22.0,0.0,4.0,168.0,45.0,41.0,8.0,57.0,1.0,0.0,67.0,9.0,7.0,7.0, .271 , .344 , .340 , .684 , .319 , 95.0 ,3.02,0.62,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
박동원,2.94,123.0,447.0,385.0,52.0,93.0,21.0,0.0,18.0,168.0,57.0,1.0,0.0,45.0,9.0,4.0,95.0,9.0,7.0,1.0, .242 , .334 , .436 , .771 , .344 , 111.5 ,2.94,-0.8,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000.0
채은성,2.89,126.0,526.0,467.0,48.0,138.0,26.0,2.0,12.0,204.0,83.0,6.0,7.0,27.0,21.0,3.0,88.0,16.0,0.0,11.0, .296 , .354 , .437 , .790 , .359 , 127.3 ,2.89,-0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.0
김선빈,2.88,140.0,587.0,505.0,51.0,145.0,23.0,0.0,3.0,177.0,61.0,13.0,2.0,65.0,6.0,0.0,47.0,14.0,7.0,3.0, .287 , .373 , .351 , .724 , .341 , 109.6 ,2.88,1.39,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000.0
오재일,2.83,135.0,536.0,470.0,57.0,126.0,42.0,0.0,21.0,231.0,94.0,2.0,1.0,58.0,1.0,8.0,133.0,7.0,0.0,7.0, .268 , .345 , .491 , .837 , .370 , 126.5 ,2.83,0.86,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
조용호,2.66,131.0,531.0,474.0,52.0,146.0,18.0,4.0,3.0,181.0,44.0,5.0,4.0,49.0,3.0,3.0,74.0,3.0,2.0,3.0, .308 , .374 , .382 , .756 , .352 , 115.8 ,2.66,1.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000.0
노시환,2.65,115.0,490.0,434.0,55.0,122.0,24.0,1.0,6.0,166.0,59.0,6.0,2.0,48.0,4.0,1.0,95.0,13.0,0.0,4.0, .281 , .355 , .382 , .738 , .344 , 112.5 ,2.65,1.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
황재균,2.65,141.0,581.0,519.0,59.0,136.0,24.0,3.0,10.0,196.0,64.0,6.0,3.0,53.0,5.0,5.0,99.0,17.0,2.0,2.0, .262 , .335 , .378 , .713 , .328 , 99.6 ,2.65,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0
배정대,2.58,144.0,575.0,508.0,64.0,135.0,24.0,2.0,6.0,181.0,56.0,19.0,4.0,54.0,4.0,0.0,126.0,2.0,5.0,4.0, .266 , .339 , .356 , .695 , .324 , 96.7 ,2.58,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000.0
문성주,2.48,106.0,390.0,327.0,55.0,99.0,15.0,3.0,6.0,138.0,41.0,9.0,6.0,51.0,3.0,2.0,36.0,13.0,8.0,1.0, .303 , .401 , .422 , .823 , .375 , 136.0 ,2.48,0.48,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0
알포드,2.47,80.0,323.0,283.0,48.0,81.0,19.0,1.0,14.0,144.0,50.0,5.0,1.0,33.0,3.0,3.0,90.0,3.0,0.0,4.0, .286 , .362 , .509 , .871 , .387 , 139.7 ,2.47,2.04,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,47700.0
추신수,2.38,112.0,499.0,409.0,77.0,106.0,20.0,1.0,16.0,176.0,58.0,15.0,5.0,71.0,13.0,1.0,100.0,6.0,2.0,4.0, .259 , .382 , .430 , .813 , .374 , 129.8 ,2.38,2.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000.0
강승호,2.34,134.0,487.0,444.0,54.0,117.0,28.0,1.0,10.0,177.0,62.0,13.0,5.0,29.0,3.0,0.0,100.0,8.0,6.0,5.0, .264 , .310 , .399 , .708 , .320 , 100.5 ,2.34,0.53,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0
유강남,2.3,139.0,469.0,416.0,54.0,106.0,16.0,0.0,8.0,146.0,47.0,0.0,0.0,34.0,11.0,1.0,98.0,9.0,6.0,2.0, .255 , .326 , .351 , .677 , .314 , 94.9 ,2.3,0.41,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0
렉스,2.3,56.0,251.0,218.0,32.0,72.0,10.0,1.0,8.0,108.0,34.0,3.0,0.0,26.0,5.0,2.0,44.0,4.0,0.0,2.0, .330 , .410 , .495 , .906 , .411 , 156.3 ,2.3,1.32,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,31370.0
